Election,State,State FIPS Code,District,"Seat Status (1=D Incumbent, 2=R Incumbent, 3=D Open, 4=R Open",Democrat Name,Democrat Vote,Republican Name,Republican Vote,Other Name,Other Vote,Other name 2,Other vote,Party Winner
S,GA,13,NA,2,Jim Martin,46.8%,Saxby Chambliss,49.8%,Allen Buckley,3.4%,NA,0.0%,2
H,HI,15,01,1,Neil Abercrombie,70.6%,Steve Tataii,17.4%,NA,0.0%,NA,0.0%,1
H,HI,15,02,1,Mazie K. Hirono,69.8%,Roger B. Evans,18.7%,NA,0.0%,NA,0.0%,1
H,ID,16,01,2,Walt Minnick,50.6%,Bill Sali,49.4%,NA,0.0%,NA,0.0%,1
H,ID,16,02,2,Debbie Holmes,29.0%,Mike Simpson,71.0%,NA,0.0%,NA,0.0%,2
S,ID,16,NA,2,Larry LaRocco,34.1%,Jim Risch,57.6%,NA,0.0%,NA,0.0%,2
H,IL,17,01,1,Bobby L. Rush,85.9%,Antoine Members,14.1%,NA,0.0%,NA,0.0%,1
H,IL,17,02,1,"Jesse L. Jackson, Jr. ",89.4%,Anthony W. Williams ,10.6%,NA,0.0%,NA,0.0%,1
H,IL,17,03,1,Daniel William Lipinski ,73.3%,Michael Hawkins ,21.4%,NA,0.0%,NA,0.0%,1
H,IL,17,04,1,Luis V. Gutierrez ,80.6%,Daniel Cunningham ,11.5%,NA,0.0%,NA,0.0%,1
H,IL,17,05,1,Rahm Emanuel,73.9%,Tom Hanson,22.0%,NA,0.0%,NA,0.0%,1
H,IL,17,06,2,Jill Morgenthaler,42.4%,Peter J. Roskam ,57.6%,NA,0.0%,NA,0.0%,2
H,IL,17,07,1,Danny K. Davis,85.0%,Steve Miller,15.0%,NA,0.0%,NA,0.0%,1
H,IL,17,08,1,Melissa Bean,60.7%,Steve Greenberg,39.3%,NA,0.0%,NA,0.0%,1
H,IL,17,09,1,Jan Schakowsky,74.7%,Michael Younan ,22.0%,NA,0.0%,NA,0.0%,1
H,IL,17,10,2,Daniel J. Seals,47.4%,Mark Steven Kirk ,52.6%,NA,0.0%,NA,0.0%,2
H,IL,17,11,4,"Deborah ""Debbie"" Halvorson ",58.4%,Marty Ozinga,34.5%,NA,0.0%,NA,0.0%,1
H,IL,17,12,1,Jerry F. Costello,71.4%,Timmy Jay Richardson,25.0%,NA,0.0%,NA,0.0%,1
H,IL,17,13,2,Scott Harper,43.6%,Judy Biggert,53.6%,NA,0.0%,NA,0.0%,2
H,IL,17,14,1,Bill Foster,57.8%,Jim Oberweis,42.2%,NA,0.0%,NA,0.0%,1
H,IL,17,15,2,Steve Cox,35.8%,Timothy V. Johnson,64.2%,NA,0.0%,NA,0.0%,2
H,IL,17,16,2,Robert G. Abboud,36.1%,Donald A. Manzullo,60.9%,NA,0.0%,NA,0.0%,2
H,IL,17,17,1,Phil Hare,Uncontested,,0.0%,NA,0.0%,NA,0.0%,1
H,IL,17,18,4,Colleen Callahan,37.9%,Aaron Schock,58.9%,NA,0.0%,NA,0.0%,2
H,IL,17,19,2,Daniel Davis,33.4%,John M. Shimkus ,64.5%,NA,0.0%,NA,0.0%,2
S,IL,17,NA,1,Dick Durbin,63.1%,Steve Sauerberg,32.7%,NA,0.0%,NA,0.0%,1
G,IN,18,NA,2,Jill Long Thompson,40.0%,Mitch Daniels,57.8%,NA,0.0%,NA,0.0%,2
H,IN,18,01,1,Peter J. Visclosky,70.9%,Mark Leyva,27.2%,NA,0.0%,NA,0.0%,1
H,IN,18,02,1,Joe Donnelly ,67.1%,Luke Puckett,30.2%,NA,0.0%,NA,0.0%,1
H,IN,18,03,2,Mike Montagano,39.7%,Mark Edward Souder,55.0%,NA,0.0%,NA,0.0%,2
H,IN,18,04,2,Nels Ackerson,40.1%,Steve Buyer,59.9%,NA,0.0%,NA,0.0%,2
H,IN,18,05,2,Mary Etta Ruley,34.5%,Dan Burton,65.5%,NA,0.0%,NA,0.0%,2
H,IN,18,06,2,Barry A. Welsh,33.4%,Mike Pence,64.0%,NA,0.0%,NA,0.0%,2
H,IN,18,07,1,Andre D. Carson,65.1%,Gabrielle Campo,34.9%,NA,0.0%,NA,0.0%,1
H,IN,18,08,1,Brad Ellsworth ,64.7%,Greg Goode,35.3%,NA,0.0%,NA,0.0%,1
H,IN,18,09,1,Baron P. Hill ,57.8%,Mike Sodrel,38.4%,D. Eric Schansberg,3.8%,NA,0.0%,1
H,IA,19,01,1,Bruce Braley,62.8%,David Hartsuch,37.2%,NA,0.0%,NA,0.0%,1
H,IA,19,02,1,David Wayne Loebsack,54.9%,Mariannette Miller-Meeks,37.1%,NA,0.0%,NA,0.0%,1
H,IA,19,03,1,Leonard L. Boswell,54.6%,Kim Schmett,40.8%,NA,0.0%,NA,0.0%,1
H,IA,19,04,2,Becky Greenwald,38.4%,Tom Latham,59.0%,NA,0.0%,NA,0.0%,2
H,IA,19,05,2,Rob Hubler,36.3%,"Steven A. ""Steve"" King ",58.2%,NA,0.0%,NA,0.0%,2
S,IA,19,NA,1,Tom Harkin,62.7%,Christopher Reed,32.7%,NA,0.0%,NA,0.0%,1
H,KS,20,01,2,James Bordonaro,13.3%,Jerry Moran,81.9%,NA,0.0%,NA,0.0%,2
H,KS,20,02,1,Nancy E. Boyda ,46.2%,Lynn Jenkins,50.6%,NA,0.0%,NA,0.0%,2
H,KS,20,03,1,Dennis Moore,56.4%,Nick Jordan ,39.7%,NA,0.0%,NA,0.0%,1
H,KS,20,04,2,"Donald Betts, Jr.",32.4%,Todd W. Tiahrt,63.4%,NA,0.0%,NA,0.0%,2
S,KS,20,NA,2,Jim Slattery,36.3%,Pat Roberts,60.2%,NA,0.0%,NA,0.0%,2
H,KY,21,01,2,Heather Ann Ryan,35.7%,"Edward ""Ed"" Whitfield ",64.3%,NA,0.0%,NA,0.0%,2
H,KY,21,02,4,David E. Boswell,47.2%,Brett Guthrie,52.8%,NA,0.0%,NA,0.0%,2
H,KY,21,03,1,John A. Yarmuth,59.4%,Anne M. Northup ,40.6%,NA,0.0%,NA,0.0%,1
H,KY,21,04,2,Michael J. Kelley,37.0%,Geoff Davis,63.0%,NA,0.0%,NA,0.0%,2
H,KY,21,05,2,NA,0.0%,"Harold ""Hal"" Rogers",Uncontested,NA,0.0%,NA,0.0%,2
H,KY,21,06,1,"A.B. ""Ben"" Chandler, III",64.7%,Jon Larson,35.3%,NA,0.0%,NA,0.0%,1
S,KY,21,NA,2,Bruce Lunsford,47.0%,Mitch McConnell,53.0%,NA,0.0%,NA,0.0%,2
H,LA,22,01,2,Jim Harlan,34.3%,Steve Scalise,65.9%,NA,0.0%,NA,0.0%,2
H,LA,22,03,1,"Charlie Melancon, Jr. ",Uncontested,NA,0.0%,NA,0.0%,NA,0.0%,1
H,LA,22,05,2,NA,0.0%,Rodney Alexander ,Uncontested,NA,0.0%,NA,0.0%,2
H,LA,22,06,1,Don Cazayoux,40.3%,Bill Cassidy ,48.1%,Michael L. Jackson,11.6%,NA,0.0%,2
H,LA,22,07,2,Don Cravins,34.3%,Charles W. Boustany ,61.9%,NA,0.0%,NA,0.0%,2
S,LA,22,NA,1,Mary Landrieu,52.1%,John Kennedy,45.8%,NA,0.0%,NA,0.0%,1
H,ME,23,01,3,Chellie Pingree ,54.9%,Charles E. Summers ,45.1%,NA,0.0%,NA,0.0%,1
H,ME,23,02,1,Michael H. Michaud,67.4%,John N. Frary,32.6%,NA,0.0%,NA,0.0%,1
S,ME,23,NA,2,Tom Allen,38.5%,Susan Collins,61.5%,NA,0.0%,NA,0.0%,2
H,MD,24,01,4,"Frank M. Kratovil, Jr.",49.1%,Andy Harris,48.3%,NA,0.0%,NA,0.0%,1
H,MD,24,02,1,C.A. Dutch Ruppersberger ,71.9%,Richard Matthews,24.8%,NA,0.0%,NA,0.0%,1
H,MD,24,03,1,John P. Sarbanes,69.7%,Pinkston Harris,30.1%,NA,0.0%,NA,0.0%,1
H,MD,24,04,1,Donna Fern Edwards,85.8%,Peter James,12.9%,NA,0.0%,NA,0.0%,1
H,MD,24,05,1,Steny Hamilton Hoyer ,73.6%,Collins Bailey,24.0%,NA,0.0%,NA,0.0%,1
H,MD,24,06,2,Jennifer P. Dougherty,38.8%,Roscoe Bartlett,57.8%,NA,0.0%,NA,0.0%,2
H,MD,24,07,1,Elijah Cummings,79.5%,Michael T. Hargadon,18.6%,NA,0.0%,NA,0.0%,1
H,MD,24,08,1,Chris Van Hollen,75.1%,Steve Hudson,21.7%,NA,0.0%,NA,0.0%,1
H,MA,25,01,1,John W. Olver,69.7%,Nathan Bech,25.9%,NA,0.0%,NA,0.0%,1
H,MA,25,02,1,Richard E. Neal,Uncontested,NA,0.0%,NA,0.0%,NA,0.0%,1
H,MA,25,03,1,James P. McGovern,Uncontested,NA,0.0%,NA,0.0%,NA,0.0%,1
H,MA,25,04,1,Barney Frank,64.3%,Earl H. Sholley,23.9%,NA,0.0%,NA,0.0%,1
H,MA,25,05,1,Nicola S. Tsongas,Uncontested,NA,0.0%,NA,0.0%,NA,0.0%,1
H,MA,25,06,1,John F. Tierney,66.8%,Richard A. Baker ,28.0%,NA,0.0%,NA,0.0%,1
H,MA,25,07,1,Edward J. Markey,70.5%,John Cunningham ,22.6%,NA,0.0%,NA,0.0%,1
H,MA,25,08,1,Michael E. Capuano,Uncontested,NA,0.0%,NA,0.0%,NA,0.0%,1
H,MA,25,09,1,Stephen F. Lynch,Uncontested,NA,0.0%,NA,0.0%,NA,0.0%,1
H,MA,25,10,1,William D. Delahunt,Uncontested,NA,0.0%,NA,0.0%,NA,0.0%,1
S,MA,25,NA,1,John Kerry,65.8%,Jeff Beatty,31.0%,NA,0.0%,NA,0.0%,1
H,MI,26,01,1,Bart Stupak,65.0%,Tom Casperson,32.7%,NA,0.0%,NA,0.0%,1
H,MI,26,02,2,Fred Johnson,34.8%,Peter Hoekstra,62.4%,NA,0.0%,NA,0.0%,2
H,MI,26,03,2,Henry Sanchez,35.4%,Vernon J. Ehlers,61.1%,NA,0.0%,NA,0.0%,2
H,MI,26,04,2,Andrew D. Concannon,35.7%,Dave Camp,61.9%,NA,0.0%,NA,0.0%,2
H,MI,26,05,1,Dale E. Kildee,70.4%,Matt Sawicki ,27.0%,NA,0.0%,NA,0.0%,1
H,MI,26,06,2,Don Cooney,38.6%,Fred Upton,58.9%,NA,0.0%,NA,0.0%,2
H,MI,26,07,2,Mark Schauer,48.8%,Tim Walberg,46.5%,NA,0.0%,NA,0.0%,1
H,MI,26,08,2,Robert D. Alexander,40.2%,Mike Rogers,56.5%,NA,0.0%,NA,0.0%,2
H,MI,26,09,2,Gary Peters,52.1%,Joe Knollenberg,42.6%,Adam Goodman,1.4%,Jack Kevorkian,2.6%,1
H,MI,26,10,2,Robert Denison,31.1%,Candice S. Miller,66.3%,NA,0.0%,NA,0.0%,2
H,MI,26,11,2,Joseph W. Larkin,45.4%,Thaddeus G. McCotter,51.4%,NA,0.0%,NA,0.0%,2
H,MI,26,12,1,Sander Levin,72.0%,Bert Copple,23.9%,NA,0.0%,NA,0.0%,1
H,MI,26,13,1,Carolyn Kilpatrick,74.1%,Edward J. Gubics,19.1%,NA,0.0%,NA,0.0%,1
H,MI,26,14,1,"John Conyers, Jr.",Uncontested,NA,0.0%,NA,0.0%,NA,0.0%,1
H,MI,26,15,1,John D. Dingell,70.7%,John J. Lynch ,25.0%,NA,0.0%,NA,0.0%,1
S,MI,26,NA,1,Carl Levin,62.6%,Jack Hoogendyk,33.9%,NA,0.0%,NA,0.0%,1
H,MN,27,01,1,"Timothy J. ""Tim"" Walz",62.5%,Brian James Davis,32.9%,Greg Mikkelson,4.5%,NA,0.0%,1
H,MN,27,02,2,"Stephen ""Steve"" Sarvi",42.6%,John P. Kline,57.3%,NA,0.0%,NA,0.0%,2
H,MN,27,03,4,"Jigar ""Ashwin"" Madia",40.9%,Erik Paulsen,48.5%,NA,0.0%,NA,0.0%,2
H,MN,27,04,1,Betty McCollum,68.4%,Ed Matthews,31.3%,NA,0.0%,NA,0.0%,1
H,MN,27,05,1,Keith Maurice Ellison ,70.9%,Barb White,22.0%,NA,0.0%,NA,0.0%,1
H,MN,27,06,2,"Elwyn ""El"" Tinklenberg ",43.4%,Michele Bachmann ,46.4%,NA,0.0%,NA,0.0%,2
H,MN,27,07,1,Collin C. Peterson,72.2%,Glen R. Menze,27.7%,NA,0.0%,NA,0.0%,1
H,MN,27,08,1,"James L. ""Jim"" Oberstar ",67.7%,Michael Cummins ,32.2%,NA,0.0%,NA,0.0%,1
S,MN,27,NA,2,Al Franken,42.0%,Norm Coleman,42.0%,Dean Barkley,15.2%,NA,0.0%,1
H,MS,28,01,1,Travis W. Childers,54.4%,Greg Davis,44.0%,NA,0.0%,NA,0.0%,1
H,MS,28,02,1,Bennie G. Thompson ,69.2%,Richard Cook,30.8%,NA,0.0%,NA,0.0%,1
